SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
33,5244,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar
Lucknow, Uttar Pradesh, 226010",MBBS,Open,GN,Allotted
34,5288,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL
MUMBAI, Maharashtra, 400012",MBBS,Open,GN,Allotted
35,5296,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,Open,GN,Allotted
36,5322,"Open Seat
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,EWS,Allotted
37,5519,"Open Seat
Quota","AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,GN,Allotted
38,5624,"Open Seat
Quota","AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,OBC,OBC,Allotted
39,5642,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar
Lucknow, Uttar Pradesh, 226010",MBBS,Open,OBC,Allotted
40,5644,All India,"ESIC Medical College, Faridabad,NH-3, NIT, FARIDABAD, HARYANA-121001",MBBS,Open,GN,Allotted
41,5678,"Open Seat
Quota","JIPMER KARAIKAL,Dhanvantari Nagar Gorimedu Puducherry 605006, Puducherry,
605006",MBBS,Open,GN,Allotted
42,5702,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
43,5723,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL
MUMBAI, Maharashtra, 400012",MBBS,OBC,OBC,Allotted
44,5784,"Open Seat
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,GN,Allotted
45,5813,"Delhi
University
Quota","Lady Hardinge Medical College, New Delhi,Lady Hardinge Medical College, Shaheed
Bhagat Singh Marg, New Delhi, Delhi (NCT), 110001",MBBS,Open,GN,Allotted
46,5815,All India,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF
MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR
PRADESH, Uttar Pradesh, 201310",MBBS,Open,GN,Allotted
47,5833,"Delhi
University
Quota","Lady Hardinge Medical College, New Delhi,Lady Hardinge Medical College, Shaheed
Bhagat Singh Marg, New Delhi, Delhi (NCT), 110001",MBBS,Open,GN,Allotted
48,5842,All India,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF
MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR
PRADESH, Uttar Pradesh, 201310",MBBS,Open,GN,Allotted
49,5853,All India,"ESIC Medical College, Faridabad,NH-3, NIT, FARIDABAD, HARYANA-121001",MBBS,Open,GN,Allotted
50,5893,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar
Lucknow, Uttar Pradesh, 226010",MBBS,Open,GN,Allotted
51,5972,All India,"Jhargram Government Medical College and Hospital, West Bengal,315, Main Road,
Jhargram, West Bengal Pincode : 721507",MBBS,Open,OBC,Allotted
52,5974,All India,"R.N.T. MEDICAL COLLEGE, UDAIPUR,Opposite Court Chourha, Udaipur",MBBS,Open,GN,Allotted
53,6042,"Open Seat
Quota","AIIMS, Raipur,Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,EWS,EWS,Allotted
54,6055,"Open Seat
Quota","AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,OBC,OBC,Allotted
55,6057,All India,"TOPIWALA NATIONAL MEDICAL COLLEGE,MUMBAI,Dr. A.L. Nair Road, Mumbai
Central, Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
56,6205,"Open Seat
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,GN,Allotted
57,6207,All India,"Govt. Medical College, Jammu,GOVERNMENT MEDICAL COLLEGE, BAKSHI
NAGAR, JAMMU 180001, Jammu And Kashmir, 180001",MBBS,Open,GN,Allotted
58,6218,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,Open,OBC,Allotted
59,6228,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001",MBBS,Open,GN,Allotted
60,6240,All India,"INST OF PG MED EDU & RESEARCH,KOLKATA,244 AJC Bose Road, Kolkata, West
Bengal, 700020",MBBS,OBC,OBC,Allotted
61,6258,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop
Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",MBBS,Open,GN,Allotted
62,6293,"Open Seat
Quota","AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,OBC,OBC,Allotted
63,6295,"Open Seat
Quota","AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,OBC,OBC,Allotted
64,6310,"Open Seat
Quota","AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,OBC,OBC,Allotted
65,6400,"Open Seat
Quota","AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,Open,GN,Allotted
66,6406,"Open Seat
Quota","AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,OBC,OBC,Allotted
67,6431,"Open Seat
Quota","AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,Open,OBC,Allotted
68,6433,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001",MBBS,Open,GN,Allotted
69,6483,All India,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU,
Karnataka, 560002",MBBS,Open,GN,Allotted
70,6514,All India,"L.L.R.M. MEDICAL COLLEGE, MEERUT,LALA LAJPAT RAI MEMORIAL, MEDICAL
COLLEGE, GARH ROAD, MEERUT, Uttar Pradesh, 250004",MBBS,Open,GN,Allotted
71,6524,All India,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu,
Himachal Pradesh, 175021",MBBS,Open,GN,Allotted
72,6554,"Open Seat
Quota","AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh,
229405",MBBS,EWS,EWS,Allotted
73,6555,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,Open,GN,Allotted
74,6573,All India,"Kalpana Chawla Govt. Medical College, Karnal,Kalpana Chawla Govt. Medical
College,Karnal, Haryana, Haryana, 132001",MBBS,Open,GN,Allotted
75,6590,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop
Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",MBBS,Open,GN,Allotted
76,6633,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR
SHIMLA, Himachal Pradesh, 171001",MBBS,OBC,OBC,Allotted
77,6664,All India,"S.N. MEDICAL COLLEGE, AGRA,HOSPITAL ROAD AGRA, Uttar Pradesh, 282002",MBBS,Open,GN,Allotted
78,6665,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR,RESIDENCY ROAD SHASTRI NAGAR
JODHPUR RAJASTHAN 342 003, Rajasthan, 342003",MBBS,Open,GN,Allotted
79,6673,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,Open,GN,Allotted
80,6674,"Open Seat
Quota","AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,Open,GN,Allotted
81,6693,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,Open,OBC,Allotted
82,6818,"Open Seat
Quota","AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,Open,EWS,Allotted
83,6857,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
84,6873,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
85,7012,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003",MBBS,Open,OBC,Allotted
86,7046,"Open Seat
Quota","AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,Open,GN,Allotted
87,7119,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
88,7128,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,GN,Allotted
89,7163,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College,
Patiala, Punjab, 147001",MBBS,Open,GN,Allotted
90,7174,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI,ACHARYA DONDE MARG PAREL
MUMBAI, Maharashtra, 400012",MBBS,OBC,OBC,Allotted
91,7177,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,EWS,Allotted
92,7186,"Open Seat
Quota","AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,GN,Allotted
93,7189,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003",MBBS,Open,GN,Allotted
94,7196,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,OBC,OBC,Allotted
95,7198,"Open Seat
Quota","AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,OBC,OBC,Allotted
96,7260,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop
Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",MBBS,Open,GN,Allotted
97,7270,All India,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU,
Karnataka, 560002",MBBS,OBC,OBC,Allotted
98,7289,All India,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE,Sassoon Hospital Compound,
Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,GN,Allotted
99,7291,"Open Seat
Quota","JIPMER KARAIKAL,Dhanvantari Nagar Gorimedu Puducherry 605006, Puducherry,
605006",MBBS,Open,OBC,Allotted
100,7367,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR,RESIDENCY ROAD SHASTRI NAGAR
JODHPUR RAJASTHAN 342 003, Rajasthan, 342003",MBBS,Open,OBC,Allotted
101,7372,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR,RESIDENCY ROAD SHASTRI NAGAR
JODHPUR RAJASTHAN 342 003, Rajasthan, 342003",MBBS,Open,GN,Allotted
102,7498,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,Open,OBC,Allotted
103,7501,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,EWS,EWS,Allotted
104,7517,All India,"M.G.M. MEDICAL COLLEGE, INDORE,AB ROAD INDORE",MBBS,Open,GN,Allotted
105,7540,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop
Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",MBBS,Open,GN,Allotted
106,7546,All India,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE,Sassoon Hospital Compound,
Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,GN,Allotted
107,7554,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College,
Patiala, Punjab, 147001",MBBS,Open,GN,Allotted
108,7620,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,OBC,OBC,Allotted
109,7691,All India,"Dr. B.R. Ambedkar State Institute of Medical Sciences ,Sector 56 Mohali, Punjab,
160055",MBBS,Open,GN,Allotted
110,7695,"Open Seat
Quota","AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,GN,Allotted
111,7699,All India,"MEDICAL COLLEGE, BARODA,Government Medical College Baroda, Anandpura,
Vadodara Pin No 390001, Gujarat, 390001",MBBS,Open,GN,Allotted
112,7729,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,OBC,OBC,Allotted
113,7779,All India,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE,Sassoon Hospital Compound,
Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,GN,Allotted
114,7783,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar
Lucknow, Uttar Pradesh, 226010",MBBS,OBC,OBC,Allotted
115,7803,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD,
BIKANER, Rajasthan, 334003",MBBS,Open,GN,Allotted
116,7903,"Open Seat
Quota","AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,OBC,OBC,Allotted
117,7927,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,EWS,EWS,Allotted
118,7975,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,Open,OBC,Allotted
119,8005,All India,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu,
Himachal Pradesh, 175021",MBBS,Open,GN,Allotted
120,8094,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,OBC,OBC,Allotted
121,8142,"Open Seat
Quota","AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,OBC,OBC,Allotted
122,8161,All India,"PT. B.D. SHARMA PGIMS, ROHTAK,Pt. B.D. Sharma PGIMS, Rohtak, Haryana,
124001",MBBS,Open,GN,Allotted
123,8171,All India,"Employees State Insurance Corporation Medical College, Alwar,ESIC Medical College
and Hospital Desoola MIA Alwar Rajasthan, Rajasthan, 301030",MBBS,Open,GN,Allotted
124,8174,"Open Seat
Quota","AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open,GN,Allotted
125,8201,All India,"LOKMANYA TILAK MUNICIPAL M C,MUMBAI,Dr. Babasaheb Ambedkar Road, Sion,
Mumbai, Maharashtra, 400022",MBBS,Open,GN,Allotted
126,8204,All India,"PT. B.D. SHARMA PGIMS, ROHTAK,Pt. B.D. Sharma PGIMS, Rohtak, Haryana,
124001",MBBS,Open,GN,Allotted
127,8207,All India,"M.G.M. MEDICAL COLLEGE, INDORE,AB ROAD INDORE",MBBS,Open,GN,Allotted
128,8244,All India,"M.G.M. MEDICAL COLLEGE, INDORE,AB ROAD INDORE",MBBS,Open,GN,Allotted
129,8253,All India,"PT. B.D. SHARMA PGIMS, ROHTAK,Pt. B.D. Sharma PGIMS, Rohtak, Haryana,
124001",MBBS,Open,GN,Allotted
130,8261,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT,Out Side Majura Gate, New Civil
Hospital Campus, Opp. Income Tax office, Surat - 395001, Gujarat, 395001",MBBS,Open,GN,Allotted
131,8291,All India,"M.G.M. MEDICAL COLLEGE, INDORE,AB ROAD INDORE",MBBS,Open,GN,Allotted
132,8319,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of
HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,OBC,OBC,Allotted
