SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
1,1,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
2,4,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
3,5,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
4,6,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
5,7,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
6,8,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
7,9,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
8,10,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
9,11,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
10,12,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,OBC,Allotted
11,13,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
12,14,AIQ,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,GN,GNNO,Allotted
13,15,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
14,16,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,OBC,Allotted
15,17,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
16,18,AIQ,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,GN,GNNO,Allotted
17,19,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
18,20,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
19,21,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,GN,GNNO,Allotted
20,22,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
21,23,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
22,24,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
23,25,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,OBC,OBC,Allotted
24,26,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
25,27,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
26,28,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
27,29,AIQ,"GOVT.MEDICAL
COLLEGE,THIRUVANANTHAPURAM",MBBS,GN,GNNO,Allotted
28,31,AIQ,"GOVT.MEDICAL
COLLEGE,THIRUVANANTHAPURAM",MBBS,GN,OBC,Allotted
29,32,AIQ,"University College of Medical
Sciences, Delhi",MBBS,GN,GNNO,Allotted
30,33,AIQ,"GOVT. MEDICAL COLLEGE,
KOZHIKODE",MBBS,GN,OBC,Allotted
31,34,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,GN,GNNO,Allotted
32,35,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,OBC,OBC,Allotted
33,37,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
34,38,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
35,39,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
36,40,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,OBC,Allotted
37,41,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
38,42,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
39,43,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
40,44,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
41,45,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
42,46,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
43,47,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
44,48,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
45,49,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
46,50,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,GN,GNNO,Allotted
47,51,AIQ,"University College of Medical
Sciences, Delhi",MBBS,GN,GNNO,Allotted
48,52,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,GN,GNNO,Allotted
49,54,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
50,56,DU,"Maulana Azad Medical College, New
Delhi",MBBS,GN,GNNO,Allotted
51,58,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
52,59,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
53,60,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
54,61,AIQ,"SETH G.S. MEDICAL COLLEGE,
MUMBAI",MBBS,GN,OBC,Allotted
55,62,AIQ,"MAULANA AZAD MEDICAL
COLLEGE, NEW DELHI",MBBS,OBC,OBC,Allotted
56,63,AIQ,"IMS BHU, Varanasi, UP",MBBS,GN,GNNO,Allotted
57,64,AIQ,"University College of Medical
Sciences, Delhi",MBBS,GN,GNNO,Allotted
58,65,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
59,66,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
60,67,AIQ,"MEDICAL COLLEGE, BARODA",MBBS,GN,GNNO,Allotted
61,68,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
62,69,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
63,70,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
64,71,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
65,72,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
66,73,AIQ,"VMMC AND SAFDARJUNG
HOSPITAL, NEW DELHI",MBBS,GN,GNNO,Allotted
