Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 2,-,-,-,EW NO,2088,667504,390
Round 2,-,-,-,EW PwD,120300,665268,12
Round 2,-,-,-,GN PwD,231720,638499,40
Round 2,-,-,-,GNNO,188,680444,2178
Round 2,-,-,-,OBC,106,817868,2262
Round 2,-,-,-,OBC PwD,24804,738808,53
Round 2,-,-,-,SC,12122,805051,692
Round 2,-,-,-,SC PwD,149584,759769,13
Round 2,-,-,-,ST,17268,810625,195
Round 2,-,-,-,ST PwD,378538,815024,4
Round 2,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,-,101525,812267,68
Round 2,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,EW NO,678185,678185,1
Round 2,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,GNNO,273396,628153,3
Round 2,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,OBC,593531,593531,1
Round 2,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,SC,480244,688923,4
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,-,89072,514639,90
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,EW NO,380275,501583,2
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,GNNO,44817,517714,12
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,OBC,126289,499081,22
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,SC,462012,500253,2
Round 2,"ACS Medical College and Hospital,
Chennai",MBBS,NRI,GNNO,435275,435275,1
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,-,6760,58513,13
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,GNNO,8709,9628,3
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,OBC,8228,10222,5
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,OBC PwD,208758,208758,1
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,SC,48518,55647,2
Round 2,"ACSR Govt Medical College, Nellore",MBBS,AIQ,ST,66560,66606,2
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,-,10465,85472,10
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,EW NO,9645,11760,3
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,GNNO,11281,12139,2
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,OBC,11886,11886,1
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,OBC PwD,390045,390045,1
Round 2,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,SC,61722,62470,2
Round 2,AIIMS Bathinda,MBBS,AMS,-,252,419240,85
Round 2,AIIMS Bathinda,MBBS,AMS,EW NO,4002,5227,3
Round 2,AIIMS Bathinda,MBBS,AMS,OBC,1917,4280,8
Round 2,AIIMS Bathinda,MBBS,AMS,SC,23492,23492,1
Round 2,AIIMS Bathinda,MBBS,AMS,SC PwD,381929,381929,1
Round 2,AIIMS Bathinda,MBBS,AMS,ST,42849,48835,2
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,-,1746,217579,34
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,EW NO,4759,6498,2
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,GNNO,4036,4916,8
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,OBC,1295,5736,3
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,OBC PwD,298733,298733,1
Round 2,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,ST,49960,56746,2
Round 2,AIIMS Guahawti,MBBS,AMS,-,1546,292311,30
Round 2,AIIMS Guahawti,MBBS,AMS,EW NO,6557,6615,2
Round 2,AIIMS Guahawti,MBBS,AMS,GNNO,4530,6077,8
Round 2,AIIMS Guahawti,MBBS,AMS,OBC,5366,6227,6
Round 2,AIIMS Guahawti,MBBS,AMS,SC,33428,40027,2
Round 2,AIIMS Guahawti,MBBS,AMS,ST,42654,47640,2
Round 2,AIIMS Jammu,MBBS,AMS,-,2464,114858,27
Round 2,AIIMS Jammu,MBBS,AMS,EW NO,6810,7401,2
Round 2,AIIMS Jammu,MBBS,AMS,GNNO,4832,6078,8
Round 2,AIIMS Jammu,MBBS,AMS,OBC,5341,6827,9
Round 2,AIIMS Jammu,MBBS,AMS,OBC PwD,301699,301699,1
Round 2,AIIMS Jammu,MBBS,AMS,SC,41105,41105,1
Round 2,AIIMS Jammu,MBBS,AMS,ST,57809,59110,2
Round 2,AIIMS Mangalagiri,MBBS,AMS,-,304,234390,107
Round 2,AIIMS Mangalagiri,MBBS,AMS,EW NO,1482,5541,5
Round 2,AIIMS Mangalagiri,MBBS,AMS,GNNO,1645,3070,4
Round 2,AIIMS Mangalagiri,MBBS,AMS,OBC,3497,4493,5
Round 2,AIIMS Mangalagiri,MBBS,AMS,OBC PwD,249589,256869,2
Round 2,AIIMS Mangalagiri,MBBS,AMS,SC,23860,32422,2
Round 2,AIIMS Rajkot,MBBS,AMS,-,1269,272627,37
Round 2,AIIMS Rajkot,MBBS,AMS,EW NO,3119,3119,1
Round 2,AIIMS Rajkot,MBBS,AMS,GNNO,1628,1628,1
Round 2,AIIMS Rajkot,MBBS,AMS,OBC,2598,4252,8
Round 2,AIIMS Rajkot,MBBS,AMS,OBC PwD,175670,175670,1
Round 2,AIIMS Rajkot,MBBS,AMS,SC,22782,22782,1
Round 2,AIIMS Rajkot,MBBS,AMS,ST,44412,44412,1
Round 2,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,-,196,300061,43
Round 2,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,EW NO,5514,6048,3
Round 2,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,GNNO,946,2994,7
Round 2,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,OBC,2583,4994,8
Round 2,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,SC PwD,603011,603011,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,-,228,125549,112
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,EW NO,1763,1763,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,EW PwD,191189,191189,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,GNNO,542,542,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,OBC,498,1052,6
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,OBC PwD,101831,101831,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,SC,11034,11034,1
Round 2,"AIIMS, Bhubaneswar",MBBS,AMS,ST,14465,21906,2
Round 2,"AIIMS, Deogarh",MBBS,AMS,-,2726,479569,41
Round 2,"AIIMS, Deogarh",MBBS,AMS,EW NO,3312,6288,5
Round 2,"AIIMS, Deogarh",MBBS,AMS,GN PwD,212817,212817,1
Round 2,"AIIMS, Deogarh",MBBS,AMS,GNNO,4393,5046,6
Round 2,"AIIMS, Deogarh",MBBS,AMS,OBC,4911,5833,4
