Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 2,-,-,-,EWS,1835,808108,364
Round 2,-,-,-,EWS PwD,947600,947600,1
Round 2,-,-,-,OBC,411,393668,1104
Round 2,-,-,-,OBC PwD,386036,1027005,10
Round 2,-,-,-,Open,196,1055053,3633
Round 2,-,-,-,Open PwD,67983,951563,31
Round 2,-,-,-,SC,13803,367730,557
Round 2,-,-,-,SC PwD,859572,971284,2
Round 2,-,-,-,ST,57208,620444,192
Round 2,-,-,-,ST PwD,762224,762224,1
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",-,202737,1022856,57
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",Open,422558,863321,5
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",-,149400,847521,92
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",Open,320096,845969,36
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,-,5997,93006,12
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,EWS,15440,15440,1
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,OBC,10456,15370,3
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,Open,10415,16628,9
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,SC,78769,78769,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,-,10257,69450,8
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,EWS,17130,17357,2
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,OBC,15181,16459,3
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,Open,12567,16590,5
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,ST,115023,115023,1
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",-,358,760127,91
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",OBC,2003,2437,3
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",Open,879,1408,4
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",ST,43326,47149,2
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",-,1341,544408,77
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",EWS,2442,3995,3
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",OBC,2537,3701,5
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",Open,959,3590,9
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",SC,26892,31849,3
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",ST,48026,61539,3
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",-,1834,841621,70
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",EWS,4746,5006,2
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",OBC,4544,5286,8
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",Open,3008,4424,10
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",SC,22552,41946,6
Round 2,AIIMS Guahawti,MBBS,"Open Seat
Quota",ST,61924,65153,4
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",-,1351,749943,39
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",EWS,5894,6046,2
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",OBC,4543,5595,9
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",Open,3197,4868,8
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",ST,58142,70891,4
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",-,354,532943,113
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",EWS,2511,3147,2
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",OBC,2684,3520,2
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",Open,1545,3030,4
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",SC,26083,26083,1
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",ST,35611,47155,2
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",-,943,691721,40
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",OBC,2198,2286,2
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",Open,2503,3864,5
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",ST,40144,43503,2
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",-,39,367368,124
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",EWS,1741,1741,1
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",-,1502,422547,80
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",EWS,3680,3680,1
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",OBC,2440,4480,5
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",Open,1864,4134,10
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",SC,24589,34965,3
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",ST,53123,53123,1
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",-,1745,962533,88
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",EWS,2759,4804,4
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",OBC,3826,4909,9
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",OBC PwD,324378,367116,2
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",Open,2963,3790,11
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",SC,35999,39984,4
Round 2,"AIIMS, Deogarh",MBBS,"Open Seat
Quota",ST,50444,70278,6
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",-,1259,500752,98
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",EWS,3002,3076,3
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",EWS PwD,280144,280144,1
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",OBC,1192,2939,7
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",OBC PwD,211006,211006,1
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",Open,1511,3228,4
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",Open PwD,628342,628342,1
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",SC,26607,31467,5
Round 2,"AIIMS, Gorakhpur",MBBS,"Open Seat
Quota",ST,49948,57181,4
Round 2,"AIIMS, Jodhpur",MBBS,"Open Seat
Quota",-,121,407434,119
Round 2,"AIIMS, Jodhpur",MBBS,"Open Seat
Quota",OBC,653,653,1
Round 2,"AIIMS, Jodhpur",MBBS,"Open Seat
Quota",Open,550,3370,4
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",-,615,702654,106
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",EWS,3325,3754,2
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",OBC,2336,4222,9
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",Open,1661,4063,3
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",SC,27725,27725,1
Round 2,"AIIMS, Kalyani",MBBS,"Open Seat
Quota",ST,55044,64962,4
Round 2,"AIIMS, Madurai",MBBS,"Open Seat
Quota",-,3181,435814,34
Round 2,"AIIMS, Madurai",MBBS,"Open Seat
Quota",EWS,6354,6354,1
Round 2,"AIIMS, Madurai",MBBS,"Open Seat
Quota",OBC,4490,5756,6
Round 2,"AIIMS, Madurai",MBBS,"Open Seat
Quota",Open,4224,5671,7
Round 2,"AIIMS, Madurai",MBBS,"Open Seat
Quota",SC,41487,43454,2
Round 2,"AIIMS, Nagpur",MBBS,"Open Seat
Quota",-,637,361331,118
Round 2,"AIIMS, Nagpur",MBBS,"Open Seat
Quota",EWS,2259,2259,1
