Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 2,-,-,-,EWS,1559,281524,359
Round 2,-,-,-,EWS PwD,590577,838115,7
Round 2,-,-,-,OBC,1255,198865,1054
Round 2,-,-,-,OBC PwD,108061,906946,54
Round 2,-,-,-,Open,599,922186,3143
Round 2,-,-,-,Open PwD,98479,921143,74
Round 2,-,-,-,SC,13767,237241,528
Round 2,-,-,-,SC PwD,529879,888055,8
Round 2,-,-,-,ST,30601,917533,159
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",-,80586,907423,74
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",Open,15321,428948,4
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",-,310967,893566,98
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",Open,249759,896223,30
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Non-
Resident
Indian",-,494117,494117,1
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,-,8325,94005,15
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,EWS,13348,13783,2
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,OBC,12238,13566,2
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,Open,9376,13558,6
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,SC,57030,57030,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,-,5346,474304,11
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,EWS,13508,13537,2
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,OBC,14522,14606,2
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,Open,12222,14655,2
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,SC,74052,74848,2
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",-,1103,680732,89
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",EWS,2387,2387,1
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",OBC,2515,2863,4
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",Open,1109,1545,3
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",SC,20840,20840,1
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",ST,29185,37407,2
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",-,2191,169152,37
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",EWS,4331,4331,1
