Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 3,-,-,-,-,326,17224,975
Round 3,-,-,-,EWS,4472,17170,83
Round 3,-,-,-,OBC,3481,17186,312
Round 3,-,-,-,Open,1862,17218,606
Round 3,"ACSR Govt
Medical College,
Nellore",MBBS,All India,-,5565,15799,14
Round 3,"ACSR Govt
Medical College,
Nellore",MBBS,All India,OBC,15695,15695,1
Round 3,"ACSR Govt
Medical College,
Nellore",MBBS,All India,Open,11712,15232,4
Round 3,"AGARTALA
GOVT.
MEDICAL
COLLEGE,AGA
RTALA",MBBS,All India,-,11086,17067,5
Round 3,"AGARTALA
GOVT.
MEDICAL
COLLEGE,AGA
RTALA",MBBS,All India,Open,15224,16252,3
Round 3,"AIIMS
Mangalagiri",MBBS,"Open
Seat
Quota",-,322,17204,100
Round 3,"AIIMS
Mangalagiri",MBBS,"Open
Seat
Quota",Open,1333,1333,1
Round 3,"AIIMS
Mangalagiri",MBBS,"Open
Seat
Quota",SC,12014,12014,1
Round 3,AIIMS Bathinda,MBBS,"Open
Seat
Quota",-,792,17178,75
Round 3,AIIMS Bathinda,MBBS,"Open
Seat
Quota",OBC,2245,2245,1
Round 3,AIIMS Bathinda,MBBS,"Open
Seat
Quota",Open,931,1541,2
Round 3,"AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,"Open
Seat
Quota",-,1226,14137,74
Round 3,"AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,"Open
Seat
Quota",OBC,3765,3765,1
Round 3,"AIIMS Bilaspur
Changar
Palasiyan,
Himachal
Pradesh",MBBS,"Open
Seat
Quota",Open,2152,2152,1
Round 3,AIIMS Guwahati,MBBS,"Open
Seat
Quota",-,1136,5522,65
Round 3,AIIMS Guwahati,MBBS,"Open
Seat
Quota",OBC,3801,4745,3
Round 3,AIIMS Guwahati,MBBS,"Open
Seat
Quota",Open,1483,4747,6
Round 3,AIIMS Jammu,MBBS,"Open
Seat
Quota",-,1803,5259,42
Round 3,AIIMS Jammu,MBBS,"Open
Seat
Quota",OBC,4777,4777,1
Round 3,AIIMS Jammu,MBBS,"Open
Seat
Quota",Open,3235,3314,3
Round 3,AIIMS Rajkot,MBBS,"Open
Seat
Quota",-,718,16811,40
Round 3,"AIIMS,
Bhubaneswar",MBBS,"Open
Seat
Quota",-,35,16980,117
Round 3,"AIIMS,
Gorakhpur",MBBS,"Open
Seat
Quota",-,1318,16915,87
Round 3,"AIIMS,
Gorakhpur",MBBS,"Open
Seat
Quota",EWS,2872,3264,2
Round 3,"AIIMS,
Gorakhpur",MBBS,"Open
Seat
Quota",OBC,2308,2758,2
Round 3,"AIIMS,
Gorakhpur",MBBS,"Open
Seat
Quota",Open,1865,2371,3
Round 3,"AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Open
Seat
Quota",-,626,9465,69
Round 3,"AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Open
Seat
Quota",OBC,3204,4070,3
Round 3,"AIIMS, Bibi
Nagar,
Hyderabad",MBBS,"Open
Seat
Quota",Open,1713,4317,2
Round 3,"AIIMS, Deogarh",MBBS,"Open
Seat
Quota",-,2322,4609,84
Round 3,"AIIMS, Deogarh",MBBS,"Open
Seat
Quota",EWS,4556,4556,1
Round 3,"AIIMS, Deogarh",MBBS,"Open
Seat
Quota",OBC,3680,3848,2
Round 3,"AIIMS, Deogarh",MBBS,"Open
Seat
Quota",Open,3215,3522,5
Round 3,"AIIMS, Jodhpur",MBBS,"Open
Seat
Quota",-,106,11350,118
Round 3,"AIIMS, Jodhpur",MBBS,"Open
Seat
Quota",Open,622,622,1
Round 3,"AIIMS, Kalyani",MBBS,"Open
Seat
Quota",-,539,16076,99
Round 3,"AIIMS, Kalyani",MBBS,"Open
Seat
Quota",OBC,3528,3528,1
Round 3,"AIIMS, Kalyani",MBBS,"Open
Seat
Quota",Open,1277,3995,3
Round 3,"AIIMS, Kalyani",MBBS,"Open
Seat
Quota",SC,15752,15752,1
Round 3,"AIIMS, Madurai",MBBS,"Open
Seat
Quota",-,2981,6549,31
Round 3,"AIIMS, Madurai",MBBS,"Open
Seat
Quota",OBC,4414,4823,2
Round 3,"AIIMS, Madurai",MBBS,"Open
Seat
Quota",Open,4220,4848,3
Round 3,"AIIMS, Nagpur",MBBS,"Open
Seat
Quota",-,209,15946,112
Round 3,"AIIMS, Nagpur",MBBS,"Open
Seat
Quota",SC,9219,9219,1
Round 3,"AIIMS, New
Delhi",MBBS,"Foreign
Country
Quota",-,8689,8689,1
Round 3,"AIIMS, New
Delhi",MBBS,"Open
Seat
Quota",-,3,4289,121
Round 3,"AIIMS, Patna",MBBS,"Open
Seat
Quota",-,496,15079,108
Round 3,"AIIMS, Patna",MBBS,"Open
Seat
Quota",EWS,1836,1836,1
Round 3,"AIIMS, Patna",MBBS,"Open
Seat
Quota",Open,1044,1369,2
Round 3,"AIIMS, Rai Bareli",MBBS,"Open
Seat
Quota",-,1429,17215,70
Round 3,"AIIMS, Rai Bareli",MBBS,"Open
Seat
Quota",OBC,3354,3354,1
Round 3,"AIIMS, Rai Bareli",MBBS,"Open
Seat
Quota",Open,2205,2558,3
Round 3,"AIIMS, Raipur",MBBS,"Open
Seat
Quota",-,618,11503,102
Round 3,"AIIMS, Raipur",MBBS,"Open
Seat
Quota",Open,832,1163,5
Round 3,"AIIMS, Raipur",MBBS,"Open
Seat
Quota",SC,6720,6720,1
Round 3,"AIIMS, Rishikesh",MBBS,"Open
Seat
Quota",-,136,16986,112
Round 3,"AIIMS, Rishikesh",MBBS,"Open
Seat
Quota",OBC,1086,1086,1
Round 3,"AIIMS, Rishikesh",MBBS,"Open
Seat
Quota",Open,504,635,4
Round 3,"AIIMS, Rishikesh",MBBS,"Open
Seat
Quota",SC,6748,6748,1
Round 3,"AIIMS-Bhopal,",MBBS,"Open
Seat
Quota",-,133,15937,117
Round 3,"AIIMS-Bhopal,",MBBS,"Open
Seat
Quota",Open,480,521,2
Round 3,"ANUGRAH
NARAYAN
MAGADH
MEDICAL
COLLEGE,
GAYA",MBBS,All India,-,7998,10665,10
Round 3,"ANUGRAH
NARAYAN
MAGADH
MEDICAL
COLLEGE,
GAYA",MBBS,All India,Open,9710,10593,2
Round 3,"ASSAM
MEDICAL
COLLEGE,
DIBRUGARH",MBBS,All India,-,7319,14373,18
Round 3,"ASSAM
MEDICAL
COLLEGE,
DIBRUGARH",MBBS,All India,OBC,11744,13961,3
Round 3,"ATAL BIHARI
VAJPAYEE
GOVERNMENT
MEDICAL
COLLEGE,
VIDISHA",MBBS,All India,-,2172,10268,18
Round 3,"ATAL BIHARI
VAJPAYEE
GOVERNMENT
MEDICAL
COLLEGE,
VIDISHA",MBBS,All India,EWS,10281,10281,1
Round 3,"ATAL BIHARI
VAJPAYEE
GOVERNMENT
MEDICAL
COLLEGE,
VIDISHA",MBBS,All India,OBC,9855,9855,1
