Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Special Stray,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina
Kannada, Karnataka, 575018",BDS,"Deemed/Paid Seats
Quota",Open,560271,560271,1
Special Stray,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,EWS,168445,168445,1
Special Stray,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,OBC,323681,349748,2
Special Stray,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,Open,110314,129400,3
Special Stray,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,Open,16179,16179,1
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,EWS,28752,28752,1
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,Open,24996,25037,2
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,SC,138065,138065,1
Special Stray,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,ST,168349,168349,1
Special Stray,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE
MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY, Puducherry, 607403",MBBS,"Deemed/Paid Seats
Quota",Open,302719,405042,2
Special Stray,"Amrita Institute of Medical Science, Kochi,Amrita School of Medicine,
Amrita Institute of Medical Sciences
AIMS Ponekkara P.O
Kochi 682041, Kerala, 682041",MBBS,"Deemed/Paid Seats
Quota",Open,212733,212733,1
Special Stray,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of Medical
Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041",BDS,"Deemed/Paid Seats
Quota",Open,401020,671618,3
Special Stray,"Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad,
Haryana, 121002",MBBS,"Deemed/Paid Seats
Quota",Open,388529,418267,2
Special Stray,"Andaman and Nicobar Islands Institute of Medical S,Director ANIIMS, DHS Annexe
Building, Atlanta Point, Port Blair-744104, Andaman And Nicobar Islands, 744104",MBBS,All India,Open,25220,25220,1
Special Stray,"Autonomous State Medical College Society , Mirzapur,MAA VINDHYAVASINI
AUTONOMOUS STATE MEDICAL COLLEGE PIPARDARH, VISHUNDERPUR,
MIRZAPUR, Uttar Pradesh, 231001",MBBS,All India,SC,138004,138004,1
Special Stray,"B.L.D.E University, Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD
VIJAYAPURA KARNATAKA, Karnataka, 586103",MBBS,Non-Resident Indian,Open,777619,1044963,3
Special Stray,"BELGAUM INST. OF MEDICAL SCI., BELGAUM,DR B R AMBEDKAR ROAD
BELAGAVI., Karnataka, 590001",MBBS,All India,Open,25076,25076,1
