Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Stray Vacancy,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina
Kannada, Karnataka, 575018",BDS,"Deemed/Paid Seats
Quota",Open,338859,338859,1
Stray Vacancy,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi,
Chennai-77, Tamil Nadu, 600077",MBBS,"Deemed/Paid Seats
Quota",Open,203013,270532,3
Stray Vacancy,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi,
Chennai-77, Tamil Nadu, 600077",MBBS,Non-Resident Indian,Open,506330,855149,7
Stray Vacancy,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,EWS,69347,69347,1
Stray Vacancy,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,OBC,42390,44640,2
Stray Vacancy,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala,
West Tripura, PIN- 799001, Tripura, 799001",BDS,All India,Open,28949,41176,3
Stray Vacancy,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West,
Tripura, 799006",MBBS,All India,Open,25019,25019,1
Stray Vacancy,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West,
Tripura, 799006",MBBS,All India,ST,168407,168407,1
Stray Vacancy,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,EWS,7484,7484,1
Stray Vacancy,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,ST,99762,99762,1
Stray Vacancy,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent
Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open Seat Quota,Open,5455,5455,1
Stray Vacancy,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand
India, PIN - 814152, Jharkhand, 814152",MBBS,Open Seat Quota,Open,7381,7381,1
Stray Vacancy,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,EWS,21939,22472,2
Stray Vacancy,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,"OBC
PwD",746033,746033,1
Stray Vacancy,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,Open,12400,19454,7
Stray Vacancy,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,SC,105492,105492,1
Stray Vacancy,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,Open Seat Quota,ST,145910,145910,1
Stray Vacancy,"AIIMS, Raipur,Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,Open Seat Quota,OBC,5074,5074,1
Stray Vacancy,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open Seat Quota,OBC,880,880,1
Stray Vacancy,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA,SHERGHATIROAD,
GAYA, Bihar, 823001",MBBS,All India,ST,150774,150774,1
Stray Vacancy,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002",MBBS,All India,OBC,24984,24984,1
Stray Vacancy,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002",MBBS,All India,Open,22238,22238,1
Stray Vacancy,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA,NH 86
INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA, Madhya Pradesh, 464001",MBBS,All India,SC,125785,125785,1
Stray Vacancy,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE
MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY, Puducherry, 607403",MBBS,"Deemed/Paid Seats
Quota",Open,271101,330174,6
Stray Vacancy,"Amrita Institute of Medical Science, Kochi,Amrita School of Medicine,
Amrita Institute of Medical Sciences
AIMS Ponekkara P.O
Kochi 682041, Kerala, 682041",MBBS,"Deemed/Paid Seats
Quota",Open,84139,185389,3
Stray Vacancy,"Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad,
Haryana, 121002",MBBS,"Deemed/Paid Seats
Quota",Open,198488,333529,2
