Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Mop Up,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina
Kannada, Karnataka, 575018",BDS,"Deemed/Pai
d Seats
Quota",Open,223456,872976,17
Mop Up,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod,
Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,"Deemed/Pai
d Seats
Quota",Open,199977,642541,31
Mop Up,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod,
Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,"Non-
Resident
Indian",Open,1010263,1035423,2
Mop Up,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,EWS,21619,21619,1
Mop Up,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,OBC,20118,21372,4
Mop Up,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,Open,18028,18260,2
Mop Up,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,SC,107353,111065,4
Mop Up,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,All India,ST,128338,128338,1
Mop Up,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura
West, Tripura, 799006",MBBS,All India,EWS,22992,22992,1
Mop Up,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura
West, Tripura, 799006",MBBS,All India,OBC,21895,21895,1
Mop Up,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura
West, Tripura, 799006",MBBS,All India,Open,20051,21597,4
