Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Stray Vacancy,"BELGAUM INST. OF MEDICAL
SCI., BELGAUM",MBBS,All India,Open,18898,18898,1
Stray Vacancy,"BIDAR INSTITUTE OF MEDICAL
SCI., BIDAR",MBBS,All India,Open,19469,19469,1
Stray Vacancy,"BPS Govt. Med. College, Sonepat",MBBS,All India,Open,16313,16313,1
Stray Vacancy,"BPS Govt. Med. College, Sonepat",MBBS,All India,SC,100442,100442,1
Stray Vacancy,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,All India,EWS,19358,19358,1
Stray Vacancy,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,All India,OBC,19505,19505,1
Stray Vacancy,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,All India,Open,18862,18862,1
Stray Vacancy,"BURDWAN MEDICAL
COLLEGE,BURDWAN",MBBS,All India,Open,17900,17900,1
Stray Vacancy,"BURDWAN MEDICAL
COLLEGE,BURDWAN",MBBS,All India,SC,92078,92078,1
Stray Vacancy,"Bangalore Medical College and
Research Institute",MBBS,All India,EWS,8386,8386,1
Stray Vacancy,"Bangalore Medical College and
Research Institute",MBBS,All India,OBC,10542,10542,1
Stray Vacancy,"Bangalore Medical College and
Research Institute",MBBS,All India,Open,5425,5425,1
Stray Vacancy,"Bhima Bhoi Medical College and
Hospital , Balangir",MBBS,All India,OBC,19688,19688,1
Stray Vacancy,"Burdwan Dental College &
Hospital, Burdwan",BDS,All India,EWS,32462,34142,2
Stray Vacancy,"Burdwan Dental College &
Hospital, Burdwan",BDS,All India,OBC,34091,34905,3
Stray Vacancy,"Burdwan Dental College &
Hospital, Burdwan",BDS,All India,Open,26054,32059,7
Stray Vacancy,"Burdwan Dental College &
Hospital, Burdwan",BDS,All India,SC,128316,128316,1
Stray Vacancy,"Burdwan Dental College &
Hospital, Burdwan",BDS,All India,ST,164687,165357,2
Stray Vacancy,"CALCUTTA NATIONAL MED
COLL,KOLKATA",MBBS,All India,EWS,15742,15742,1
Stray Vacancy,"CALCUTTA NATIONAL MED
COLL,KOLKATA",MBBS,All India,OBC,17379,18530,3
Stray Vacancy,"CALCUTTA NATIONAL MED
COLL,KOLKATA",MBBS,All India,Open,12438,14029,4
Stray Vacancy,"CALCUTTA NATIONAL MED
COLL,KOLKATA",MBBS,All India,Open PwD,614432,614432,1
Stray Vacancy,"CHHATTISGARH INSTITUTE OF
MEDICAL SCIENCES, BILASP",MBBS,All India,Open,19098,19098,1
Stray Vacancy,"CHHATTISGARH INSTITUTE OF
MEDICAL SCIENCES, BILASP",MBBS,All India,SC,101981,101981,1
Stray Vacancy,"CHIKKABALLAPURA INSTITUTE
OF MEDICAL SCIENCES,
KARNATAKA",MBBS,All India,Open,19540,19540,1
Stray Vacancy,"COIMBATORE MEDICAL
COLLEGE,COIMBATORE",MBBS,All India,OBC,17882,18142,2
Stray Vacancy,"COIMBATORE MEDICAL
COLLEGE,COIMBATORE",MBBS,All India,Open,14407,15170,2
