Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 2,-,-,-,EWS,1827.0,421546,416
Round 2,-,-,-,EWS PwD,696714.0,1261180,5
Round 2,-,-,-,OBC,1139.0,262706,1260
Round 2,-,-,-,OBC PwD,37990.0,1385511,51
Round 2,-,-,-,Open,331.0,1395905,4958
Round 2,-,-,-,Open PwD,75916.0,1220394,64
Round 2,-,-,-,SC,1221.0,435842,740
Round 2,-,-,-,SC PwD,247138.0,1382849,11
Round 2,-,-,-,ST,40974.0,1261574,273
Round 2,-,-,-,ST PwD,398369.0,1150087,3
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",-,128431.0,846485,91
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Deemed/Pa
id Seats
Quota",Open,154415.0,714518,6
Round 2,"AB Shetty Memorial
Inst. of Dental Sce.,
Mangaluru",BDS,"Non-
Resident
Indian",-,1089085.0,1089085,1
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",-,117016.0,1017390,187
Round 2,"ACS Medical College
and Hospital, Chennai",MBBS,"Deemed/Pa
id Seats
Quota",Open,324739.0,941429,25
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,-,10073.0,94251,7
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,EWS,17146.0,17518,3
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,OBC,14512.0,16428,4
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,Open,10469.0,14569,8
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,SC,78091.0,78973,2
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,SC PwD,1261284.0,1261284,1
Round 2,"ACSR Govt Medical
College, Nellore",MBBS,All India,ST,87289.0,87289,1
Round 2,"AGARTALA GOVT.
DENTAL
COLLEGE,AGARTAL",BDS,All India,-,20598.0,24754,2
Round 2,"AGARTALA GOVT.
DENTAL
COLLEGE,AGARTAL",BDS,All India,EWS,26153.0,26153,1
Round 2,"AGARTALA GOVT.
DENTAL
COLLEGE,AGARTAL",BDS,All India,OBC,21193.0,21813,2
Round 2,"AGARTALA GOVT.
DENTAL
COLLEGE,AGARTAL",BDS,All India,Open,21106.0,21106,1
Round 2,"AGARTALA GOVT.
DENTAL
COLLEGE,AGARTAL",BDS,All India,SC,101539.0,101539,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,-,14404.0,1169378,15
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,EWS,16835.0,19569,2
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,OBC,17986.0,17986,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,Open,14721.0,14721,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,SC,81588.0,81588,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,SC PwD,1377061.0,1377061,1
Round 2,"AGARTALA GOVT.
MEDICAL
COLLEGE,AGARTAL
A",MBBS,All India,ST,117279.0,127597,2
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",-,272.0,824563,92
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",EWS,1843.0,1843,1
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",OBC,1251.0,2176,2
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",Open,793.0,1510,3
Round 2,AIIMS Bathinda,MBBS,"Open Seat
Quota",SC,6520.0,15586,2
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",-,776.0,388448,90
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",EWS,3780.0,3780,1
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",OBC,1993.0,3257,6
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",Open,2199.0,2384,2
Round 2,"AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Open Seat
Quota",ST,39855.0,39855,1
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",-,1538.0,611150,77
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",EWS,4804.0,4804,1
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",OBC,3889.0,4350,4
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",Open,2285.0,3923,12
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",SC,13788.0,27791,5
Round 2,AIIMS Guwahati,MBBS,"Open Seat
Quota",ST,54515.0,54515,1
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",-,1472.0,540974,80
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",OBC,3879.0,4525,7
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",Open,2763.0,4544,8
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",SC,25369.0,29246,4
Round 2,AIIMS Jammu,MBBS,"Open Seat
Quota",SC PwD,600934.0,600934,1
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",-,221.0,385913,121
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",EWS,2264.0,2264,1
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",OBC,2982.0,2982,1
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",Open,2295.0,2295,1
Round 2,AIIMS Mangalagiri,MBBS,"Open Seat
Quota",SC,19604.0,19604,1
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",-,875.0,234232,44
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",EWS,1913.0,1913,1
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",OBC,2051.0,3035,2
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",Open,1361.0,1361,1
Round 2,AIIMS Rajkot,MBBS,"Open Seat
Quota",SC,17451.0,22508,2
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",-,97.0,707212,116
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",EWS,1485.0,1485,1
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",OBC,1125.0,1220,3
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",Open,551.0,1360,4
Round 2,"AIIMS, Bhubaneswar",MBBS,"Open Seat
Quota",ST,12397.0,12397,1
Round 2,"AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Open Seat
Quota",-,1207.0,676640,86
