Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Mop Up,"AB Shetty Memorial Inst. of Dental Sce.,
Mangaluru",BDS,MNG,GN,166272,815370,15
Mop Up,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,GN,193925,702396,36
Mop Up,AIIMS Bathinda,MBBS,AMS,GN,1754,4249,3
Mop Up,AIIMS Bathinda,MBBS,AMS,OBC,4341,6338,3
Mop Up,AIIMS Bathinda,MBBS,AMS,SC,46517,46517,1
Mop Up,AIIMS Bathinda,MBBS,AMS,ST,67302,70275,2
Mop Up,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,GN,4672,6424,4
Mop Up,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,GN PwD,311094,311094,1
Mop Up,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,OBC,8041,8041,1
Mop Up,"AIIMS Bilaspur Changar Palasiyan,
Himachal Pradesh",MBBS,AMS,SC,52694,52694,1
Mop Up,AIIMS Guahawti,MBBS,AMS,EW NO,8993,9609,3
Mop Up,AIIMS Guahawti,MBBS,AMS,GN,7517,8464,7
Mop Up,AIIMS Guahawti,MBBS,AMS,OBC,9079,9718,9
Mop Up,AIIMS Guahawti,MBBS,AMS,SC,57717,59261,3
Mop Up,AIIMS Guahawti,MBBS,AMS,ST,68504,73225,3
Mop Up,AIIMS Jammu,MBBS,AMS,EW NO,9799,9799,1
Mop Up,AIIMS Jammu,MBBS,AMS,GN,7299,9124,8
Mop Up,AIIMS Jammu,MBBS,AMS,OBC,9635,10243,7
Mop Up,AIIMS Jammu,MBBS,AMS,SC,61155,61155,1
Mop Up,AIIMS Jammu,MBBS,AMS,ST,77980,78913,2
Mop Up,AIIMS Mangalagiri,MBBS,AMS,EW NO,6713,6713,1
Mop Up,AIIMS Mangalagiri,MBBS,AMS,OBC,5111,7176,5
Mop Up,AIIMS Mangalagiri,MBBS,AMS,OBC PwD,348121,348121,1
Mop Up,AIIMS Mangalagiri,MBBS,AMS,SC,45260,49290,4
Mop Up,AIIMS Mangalagiri,MBBS,AMS,SC PwD,534885,534885,1
Mop Up,AIIMS Rajkot,MBBS,AMS,EW NO,7062,7062,1
Mop Up,AIIMS Rajkot,MBBS,AMS,GN,4748,6715,6
Mop Up,AIIMS Rajkot,MBBS,AMS,OBC,7236,8745,7
Mop Up,AIIMS Rajkot,MBBS,AMS,SC,50749,53037,3
Mop Up,AIIMS Rajkot,MBBS,AMS,ST,58751,58751,1
Mop Up,"AIIMS Telangana Bibi Nagar Village
Rangapur Mandal Name Bibinagar",MBBS,AMS,EW NO,5634,5634,1
