Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota","OBC
PwD",418616,483400.0,2
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota",Open,1834,4073.0,38
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota","Open
PwD",220016,351572.0,2
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota",SC,9899,42818.0,14
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota",SC PwD,841621,841621.0,1
Round 1,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,"Open Seat
Quota",ST,29483,65153.0,7
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",EWS,4910,6046.0,6
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",OBC,4543,5595.0,16
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota","OBC
PwD",519284,519284.0,1
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",Open,1351,4497.0,23
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota","Open
PwD",153731,153731.0,1
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",SC,26461,41557.0,9
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",SC PwD,749943,749943.0,1
Round 1,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",MBBS,"Open Seat
Quota",ST,58142,71858.0,5
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",EWS,2511,3498.0,11
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota","EWS
PwD",532943,532943.0,1
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",OBC,2441,3530.0,32
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota","OBC
PwD",412694,412694.0,1
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",Open,354,2383.0,49
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota","Open
PwD",211014,385511.0,2
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",SC,2530,31673.0,18
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",SC PwD,431160,431160.0,1
Round 1,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES
NEAR TADEPALLI
MANGALAGIRI
GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,"Open Seat
Quota",ST,24881,47155.0,9
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",EWS,3320,4061.0,5
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",OBC,2860,3678.0,13
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",Open,943,2790.0,20
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota","Open
PwD",339495,339495.0,1
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",SC,19797,28813.0,6
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",SC PwD,691721,691721.0,1
Round 1,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot
Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",MBBS,"Open Seat
Quota",ST,40144,47365.0,3
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",EWS,901,1741.0,11
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota","EWS
PwD",228534,228534.0,1
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",OBC,594,1413.0,33
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota","OBC
PwD",313834,313834.0,1
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",Open,39,564.0,48
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota","Open
PwD",67262,183482.0,2
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",SC,1029,7825.0,18
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",SC PwD,367368,367368.0,1
Round 1,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,"Open Seat
Quota",ST,8349,25410.0,10
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",EWS,3160,4254.0,11
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",OBC,3057,4480.0,25
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota","OBC
PwD",411030,412323.0,2
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",Open,1502,2866.0,38
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota","Open
PwD",319044,367602.0,2
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",SC,19944,35651.0,14
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",SC PwD,422547,422547.0,1
Round 1,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region)
Telangana
508126, Telangana, 508126",MBBS,"Open Seat
Quota",ST,47016,56463.0,7
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",EWS,4114,4918.0,12
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota","EWS
PwD",531543,531543.0,1
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",OBC,4085,4961.0,33
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota","OBC
PwD",449299,449299.0,1
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",Open,1745,4010.0,49
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota","Open
PwD",324378,367116.0,2
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",SC,28114,40453.0,17
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",SC PwD,962533,962533.0,1
Round 1,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH
DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",MBBS,"Open Seat
Quota",ST,50444,70278.0,8
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",EWS,2695,3173.0,11
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota","EWS
PwD",500752,500752.0,1
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",OBC,2655,3275.0,32
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota","OBC
PwD",379190,379190.0,1
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",Open,1192,2606.0,49
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota","Open
PwD",211006,280144.0,3
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",SC,23552,31961.0,18
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",SC PwD,628342,628342.0,1
Round 1,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat,
Gorakhpur, Uttar Pradesh, 273008",MBBS,"Open Seat
Quota",ST,49948,57181.0,8
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",EWS,585,1140.0,12
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota","EWS
PwD",407434,407434.0,1
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",OBC,586,1051.0,32
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota","OBC
PwD",257836,261888.0,2
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",Open,121,569.0,48
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota","Open
PwD",123863,216506.0,2
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",SC,2630,7719.0,17
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",SC PwD,233482,233482.0,1
Round 1,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,"Open Seat
Quota",ST,4895,14765.0,9
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",EWS,3017,3981.0,12
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",OBC,2961,4222.0,32
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota","OBC
PwD",402757,409792.0,2
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",Open,615,2783.0,49
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota","Open
PwD",69270,182244.0,2
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",SC,3354,29315.0,18
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",SC PwD,702654,702654.0,1
Round 1,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West
Bengal, India, West Bengal, 741245",MBBS,"Open Seat
Quota",ST,8800,64962.0,9
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",EWS,5108,6407.0,4
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",OBC,4853,5866.0,14
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",Open,3181,4737.0,19
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota","Open
PwD",435814,435814.0,1
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",SC,39554,44363.0,8
Round 1,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008",MBBS,"Open Seat
Quota",ST,61511,71430.0,4
Round 1,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,"Open Seat
Quota",EWS,1360,2357.0,12
Round 1,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,"Open Seat
Quota","EWS
PwD",339168,339168.0,1
Round 1,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,"Open Seat
Quota",OBC,1437,2281.0,31
Round 1,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,"Open Seat
Quota","OBC
PwD",298477,361331.0,2
