Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,EWS,2792.0,4012,10
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,OBC,2447.0,3276,26
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,"OBC
PwD",388448.0,388448,1
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,Open,776.0,2401,38
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,"Open
PwD",157706.0,203256,2
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,SC,9075.0,23569,14
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,SC PwD,364418.0,364418,1
Round 1,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical
Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open Seat Quota,ST,29750.0,44528,8
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,EWS,3587.0,5035,9
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,"EWS
PwD",412043.0,412043,1
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,OBC,3668.0,4463,26
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,"OBC
PwD",349245.0,349245,1
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,Open,1538.0,3476,39
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,"Open
PwD",28828.0,117767,2
Round 1,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open Seat Quota,SC,4439.0,27801,14
