Round,Allotted Institute,Course,Allotted Quota,Allotted Category,Opening_Rank,Closing_Rank,Allotted_Count
Round 1,"AB Shetty Memorial Inst. of Dental
Sce., Mangaluru",BDS,MNG,GN,58119,571321,85
Round 1,"AB Shetty Memorial Inst. of Dental
Sce., Mangaluru",BDS,NRI,GN,520923,520923,1
Round 1,"ACS Medical College and Hospital,
Chennai",MBBS,MNG,GN,64643,411173,128
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,GN,5037,8731,17
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,GN PwD,50321,50321,1
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,SC,39150,43830,3
Round 1,"ACSR Govt Medical College, Nellore",MBBS,AIQ,ST,59156,59156,1
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,GN,2527,9486,12
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,SC,51867,53364,2
Round 1,"AGARTALA GOVT. MEDICAL
COLLEGE,AGARTALA",MBBS,AIQ,ST,72207,72207,1
Round 1,"ANUGRAH NARAYAN MAGADH
MEDICAL COLLEGE, GAYA",MBBS,AIQ,GN,5619,7696,12
Round 1,"ANUGRAH NARAYAN MAGADH
MEDICAL COLLEGE, GAYA",MBBS,AIQ,SC,39808,48410,2
Round 1,"ANUGRAH NARAYAN MAGADH
MEDICAL COLLEGE, GAYA",MBBS,AIQ,ST,65255,65255,1
Round 1,"ASSAM MEDICAL COLLEGE,
DIBRUGARH",MBBS,AIQ,GN,5830,8282,18
Round 1,"ASSAM MEDICAL COLLEGE,
DIBRUGARH",MBBS,AIQ,GN PwD,189307,189307,1
Round 1,"ASSAM MEDICAL COLLEGE,
DIBRUGARH",MBBS,AIQ,SC,37845,49686,4
Round 1,"ASSAM MEDICAL COLLEGE,
DIBRUGARH",MBBS,AIQ,ST,63335,67330,2
Round 1,"ATAL BIHARI VAJPAYEE
GOVERNMENT MEDICAL COLLEGE,
VIDISHA",MBBS,AIQ,GN,2540,6980,17
Round 1,"ATAL BIHARI VAJPAYEE
GOVERNMENT MEDICAL COLLEGE,
VIDISHA",MBBS,AIQ,GN PwD,147183,147183,1
Round 1,"ATAL BIHARI VAJPAYEE
GOVERNMENT MEDICAL COLLEGE,
VIDISHA",MBBS,AIQ,SC,36553,37756,3
Round 1,"ATAL BIHARI VAJPAYEE
GOVERNMENT MEDICAL COLLEGE,
VIDISHA",MBBS,AIQ,ST,46210,54021,2
Round 1,"Aarupadai Veedu Medical College
and Hospt., Puducherry",MBBS,MNG,GN,13242,302109,85
Round 1,"Amrita Institute of Medical Science,
Kochi",MBBS,MNG,GN,32055,95035,85
Round 1,"Amrita Institute of Medical Science,
Kochi",MBBS,NRI,GN,153958,612680,15
Round 1,"Amrita School of Dentistry, Kochi",BDS,MNG,GN,81005,489378,58
Round 1,"Andaman and Nicobar Islands
Institute of Medical S",MBBS,AIQ,GN,3263,9384,12
Round 1,"Andaman and Nicobar Islands
Institute of Medical S",MBBS,AIQ,SC,40696,47860,2
Round 1,"Andaman and Nicobar Islands
Institute of Medical S",MBBS,AIQ,ST,74583,74583,1
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,GN,136,2009,21
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,GN PwD,167056,167056,1
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,SC,16116,22648,4
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,SC PwD,213335,213335,1
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,ST,3887,27114,2
Round 1,"Andhra Medical College,
Visakhapatnam",MBBS,AIQ,ST PwD,343982,343982,1
Round 1,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,AIQ,GN,14,536,28
Round 1,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,AIQ,GN PwD,69165,69165,1
Round 1,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,AIQ,SC,1525,10629,6
Round 1,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,AIQ,ST,9899,11084,2
Round 1,"B.L.D.E University, Bijapur",MBBS,MNG,GN,40313,145111,127
Round 1,"B.L.D.E University, Bijapur",MBBS,NRI,GN,561445,816768,2
Round 1,"B.R.D. MEDICAL COLLEGE,
GORAKHPUR",MBBS,AIQ,GN,2679,3881,9
Round 1,"B.R.D. MEDICAL COLLEGE,
GORAKHPUR",MBBS,AIQ,GN PwD,121739,121739,1
Round 1,"B.R.D. MEDICAL COLLEGE,
GORAKHPUR",MBBS,AIQ,SC,21627,30430,3
Round 1,"B.R.D. MEDICAL COLLEGE,
GORAKHPUR",MBBS,AIQ,ST,50921,55595,2
Round 1,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,AIQ,GN,155,1331,22
Round 1,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,AIQ,GN PwD,142631,142631,1
Round 1,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,AIQ,SC,6652,12683,3
Round 1,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,AIQ,SC PwD,205399,205399,1
Round 1,"BAHIRAMJEE JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,AIQ,ST,25382,29279,3
Round 1,"BANGALORE MED.
COLLEGE,BANGALORE",MBBS,AIQ,GN,109,774,27
Round 1,"BANGALORE MED.
COLLEGE,BANGALORE",MBBS,AIQ,GN PwD,67522,85523,2
Round 1,"BANGALORE MED.
COLLEGE,BANGALORE",MBBS,AIQ,SC,1438,11036,5
Round 1,"BANGALORE MED.
COLLEGE,BANGALORE",MBBS,AIQ,SC PwD,212742,212742,1
Round 1,"BANGALORE MED.
COLLEGE,BANGALORE",MBBS,AIQ,ST,6996,17428,3
Round 1,"BANKURA SAMMILANI MED
COLL,BANKURA",MBBS,AIQ,GN,5549,7678,18
Round 1,"BANKURA SAMMILANI MED
COLL,BANKURA",MBBS,AIQ,GN PwD,92677,92677,1
Round 1,"BANKURA SAMMILANI MED
COLL,BANKURA",MBBS,AIQ,SC,47570,49396,2
Round 1,"BANKURA SAMMILANI MED
COLL,BANKURA",MBBS,AIQ,SC PwD,303694,303694,1
Round 1,"BANKURA SAMMILANI MED
COLL,BANKURA",MBBS,AIQ,ST,62985,62985,1
Round 1,"BELGAUM INST. OF MEDICAL SCI.,
BELGAUM",MBBS,AIQ,GN,2918,6192,17
Round 1,"BELGAUM INST. OF MEDICAL SCI.,
BELGAUM",MBBS,AIQ,SC,40491,44311,3
Round 1,"BELGAUM INST. OF MEDICAL SCI.,
BELGAUM",MBBS,AIQ,ST,57739,60151,2
Round 1,"BIDAR INSTITUTE OF MEDICAL
SCI., BIDAR",MBBS,AIQ,GN,6626,8246,10
Round 1,"BIDAR INSTITUTE OF MEDICAL
SCI., BIDAR",MBBS,AIQ,GN PwD,283664,283664,1
Round 1,"BIDAR INSTITUTE OF MEDICAL
SCI., BIDAR",MBBS,AIQ,SC,37940,46496,3
Round 1,"BIDAR INSTITUTE OF MEDICAL
SCI., BIDAR",MBBS,AIQ,ST,54546,54546,1
Round 1,"BPS Govt. Med. College, Sonepat",MBBS,AIQ,GN,3021,4060,11
Round 1,"BPS Govt. Med. College, Sonepat",MBBS,AIQ,SC,19137,29333,3
Round 1,"BPS Govt. Med. College, Sonepat",MBBS,AIQ,ST,48467,48467,1
Round 1,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,AIQ,GN,5073,6522,11
Round 1,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,AIQ,GN PwD,170655,170655,1
Round 1,"BUNDELKHAND MEDICAL
COLLEGE, SAGAR",MBBS,AIQ,SC,38643,38723,2
